"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","89","0","9A3AQ","JN75WS","2317","18","1973","16","","14,8 %","0","0,0 %","37,5 %","0,0 %","YP2DX","375","0","PWR(W): 10","TRX: HM","Ant: VILEDA INDOOR closed window 2 glasis","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","90","0","DB3LO","JO51MV","1943","22","1943","22","","0,0 %","0","0,0 %","13,6 %","0,0 %","OK2M","321","0","PWR(W): 40","TRX:","Ant: 20el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","91","0","DL3YCW","JO42HB","2057","13","1939","12","","5,7 %","0","0,0 %","16,7 %","0,0 %","OK2A","345","0","PWR(W): 80","TRX:","Ant: 2 x 45 Ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","92","0","DL9MKA","JO51SW","1885","24","1885","24","","0,0 %","0","0,0 %","12,5 %","0,0 %","DM7A","196","0","PWR(W): 30","TRX:","Ant: 20 el YAGI","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","93","0","I1KFH","JN45FG","1868","7","1868","7","","0,0 %","0","0,0 %","0,0 %","0,0 %","S50C","504","0","PWR(W): 150","TRX: TRXV  HM DB6NT","Ant: 1,9 MT  DISCO","ASL(m): 120","",
"SO 1.3 GHz","1.3 GHz","94","0","OK4X","JO60VR","2254","26","1834","21","","18,6 %","0","0,0 %","61,9 %","0,0 %","OK1KUO","197","0","PWR(W): 10","TRX: Kenwood TS2000","Ant: 67 el","ASL(m): 860","",
"SO 1.3 GHz","1.3 GHz","95","0","SP5IDR","KO01VU","1808","7","1808","7","","0,0 %","0","0,0 %","0,0 %","0,0 %","HA5UA","505","0","PWR(W): 10","TRX:","Ant: Yaga 64el","ASL(m): 140","",
"SO 1.3 GHz","1.3 GHz","96","0","DK2YCT","JO32RG","1783","12","1783","12","","0,0 %","0","0,0 %","33,3 %","0,0 %","OK2A","426","0","PWR(W): 10","TRX:","Ant: 23 el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","97","0","S58RU","JN65WM","1780","13","1780","13","","0,0 %","1","13,3 %","0,0 %","0,0 %","IU4MES","239","0","PWR(W): 10","TRX: Icom IC-9700","Ant: Flexa Yagi FX2317","ASL(m): 275","",
"SO 1.3 GHz","1.3 GHz","98","0","OK1EM","JO70CN","1771","18","1771","18","","0,0 %","0","0,0 %","16,7 %","0,0 %","OM3KII","316","0","PWR(W): 5","TRX:","Ant: 10 dB","ASL(m): 260","",
"SO 1.3 GHz","1.3 GHz","99","0","DC6CX/P","JO31SE","1720","8","1720","8","","0,0 %","0","0,0 %","0,0 %","0,0 %","OK2M","474","0","PWR(W): 200","TRX:","Ant: 36 Ele. Yagi PA1296-36-3BUT","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","100","0","OK1CTT","JO70KK","1704","15","1704","15","","0,0 %","0","0,0 %","0,0 %","0,0 %","OM3KII","270","0","PWR(W): 10","TRX: IC-910","Ant: YAGI 26el.","ASL(m): 290","",
"SO 1.3 GHz","1.3 GHz","101","0","OK2PKD","JN99BL","1702","13","1702","13","","0,0 %","0","0,0 %","38,5 %","0,0 %","OK2A","395","0","PWR(W): 10","TRX: TRX","Ant: Flat 13dBd","ASL(m): 370","",
"SO 1.3 GHz","1.3 GHz","102","0","DF6WE","JO31GO","1513","19","1513","19","","0,0 %","0","0,0 %","0,0 %","0,0 %","DM5D","467","0","PWR(W): 80","TRX:","Ant: 27 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","103","0","YO7LBX","KN15PB","1490","8","1490","8","","0,0 %","0","0,0 %","0,0 %","0,0 %","LZ6R","325","0","PWR(W): 10","TRX:","Ant: Yagi Loup 25el","ASL(m): 200","",
"SO 1.3 GHz","1.3 GHz","104","0","DL3BH","JN49SB","2115","10","1484","9","","29,8 %","0","0,0 %","0,0 %","0,0 %","OE5LHM/P","347","0","PWR(W): 25","TRX:","Ant: Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","105","0","DH9JE","JO31JG","1619","11","1425","10","","12,0 %","0","0,0 %","0,0 %","0,0 %","OK2A","433","0","PWR(W): 80","TRX:","Ant: 44 Element Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","106","0","LZ2JU","KN34NA","1404","9","1404","9","","0,0 %","0","0,0 %","0,0 %","0,0 %","LZ2T","311","0","PWR(W): 10","TRX:","Ant: 9 El. Yagi","ASL(m): 50","",
"SO 1.3 GHz","1.3 GHz","107","0","DK2CB","JO71IX","1522","9","1343","8","","11,8 %","0","0,0 %","25,0 %","0,0 %","OL9W","372","0","PWR(W): 0","TRX:","Ant: 2x36 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","108","0","OL5B","JN89IG","1460","14","1316","13","","9,9 %","0","0,0 %","0,0 %","0,0 %","OE5LHM/P","199","0","PWR(W): 10","TRX: ICOM IC9700","Ant: 1xYagi40el","ASL(m): 502","",
