"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"6H 50 MHz","50 MHz","85","0","2E0IGD/P","IO93KF","31120","24","27679","21","","11,1 %","1","0,2 %","0,0 %","0,0 %","YP8T","2164","0","PWR(W): 50","TRX: FT991a","Ant: Vert","ASL(m): 53","",
"6H 50 MHz","50 MHz","86","0","2E0OUT","IO81WO","27537","23","27216","21","","1,2 %","0","0,0 %","0,0 %","0,0 %","Z3A","2181","0","PWR(W): 100","TRX: 7300","Ant: 23ell  duel","ASL(m): 94","",
"6H 50 MHz","50 MHz","87","0","Z33F","KN11CR","33303","24","26438","19","","20,6 %","0","0,0 %","100,0 %","0,0 %","F6GNJ","1789","0","PWR(W): 100","TRX:","Ant: 3 el. yagi","ASL(m):","",
"6H 50 MHz","50 MHz","88","0","G5TO","IO93GG","26555","45","26376","44","","0,7 %","1","0,1 %","4,5 %","0,0 %","IT9ZVL","2049","0","PWR(W): 100","TRX: FTDX5000MP","Ant: 4 el dual band yagi","ASL(m): 100","",
"6H 50 MHz","50 MHz","89","0","LZ9Q","KN12HH","25387","19","25387","19","","0,0 %","2","10,7 %","0,0 %","0,0 %","F5DYD","1774","0","PWR(W): 100","TRX:","Ant: 4el Yagi-Uda","ASL(m): 1050","",
"6H 50 MHz","50 MHz","90","0","OK1KN","JO70KD","29783","25","25339","22","","14,9 %","1","4,8 %","18,2 %","0,0 %","ED5E","1730","0","PWR(W): 20","TRX:","Ant: dipole","ASL(m): 193","",
"6H 50 MHz","50 MHz","91","0","G7LMJ","IO90MS","25874","29","24769","26","","4,3 %","3","15,4 %","0,0 %","0,0 %","YT5L","1927","0","PWR(W): 100","TRX: IC-7300","Ant: 4-element yagi","ASL(m): 5m","",
"6H 50 MHz","50 MHz","92","0","G7X","IO92HQ","26058","24","24651","23","","5,4 %","2","0,4 %","26,1 %","0,0 %","YU5R","1907","0","PWR(W): 100","TRX: FT5000","Ant: G5RV","ASL(m): 200","",
"6H 50 MHz","50 MHz","93","0","9A9D","JN85KV","24363","34","24363","34","","0,0 %","0","0,0 %","0,0 %","0,0 %","US4MAO","1712","0","PWR(W): 100","TRX:","Ant: 4EL","ASL(m):","",
"6H 50 MHz","50 MHz","94","0","E77D","JN94BR","24622","35","24294","34","","1,3 %","0","0,0 %","61,8 %","0,0 %","EA5DF","1641","0","PWR(W): 100","TRX: TS 590sg","Ant: YU7EF 6el.","ASL(m): 0","",
"6H 50 MHz","50 MHz","95","0","I3MTM","JN55PP","25466","23","23725","22","","6,8 %","0","0,0 %","4,5 %","0,0 %","GM4ODA/P","1790","0","PWR(W): 100","TRX:","Ant: 5 el yagi   JPole","ASL(m): 230","",
"6H 50 MHz","50 MHz","96","0","IU7OTK","JN90CE","34274","22","22824","15","","33,4 %","1","4,4 %","0,0 %","0,0 %","G8T","2124","0","PWR(W): 40","TRX:","Ant: DIPOLE","ASL(m): 35","",
"6H 50 MHz","50 MHz","97","0","M0UHF","IO91IP","25127","49","22633","45","","9,9 %","2","7,8 %","0,0 %","0,0 %","IK7LMX","1913","0","PWR(W): 50","TRX:","Ant: 5070OWA9","ASL(m): 55","",
"6H 50 MHz","50 MHz","98","0","M1W","IO83RO","27226","59","22615","52","","16,9 %","1","0,3 %","0,0 %","0,0 %","E73DPR","1962","0","PWR(W): 150","TRX: ic7300","Ant: 3 element lfa","ASL(m): 250","",
"6H 50 MHz","50 MHz","99","0","YO3FWL","KN24XL","22611","17","22611","17","","0,0 %","0","0,0 %","0,0 %","0,0 %","TM4A","2036","0","PWR(W): 100","TRX:","Ant: LFA 3 EL","ASL(m): 90","",
"6H 50 MHz","50 MHz","100","0","HB9BOS","JN37TM","22627","25","22566","23","","0,3 %","0","0,0 %","21,7 %","0,0 %","OH5Z","1900","0","PWR(W): 90","TRX:","Ant: GROUNDPLANE","ASL(m): 310","",
"6H 50 MHz","50 MHz","101","0","9A9O","JN85XE","22543","28","22543","28","","0,0 %","0","0,0 %","0,0 %","0,0 %","G8T","1810","0","PWR(W): 100","TRX: Icom IC-756 pro2","Ant: 5 el.dk7zb","ASL(m): 100","",
"6H 50 MHz","50 MHz","102","0","YL5T","KO27KJ","26614","18","22337","15","","16,1 %","0","0,0 %","100,0 %","0,0 %","IW1CHX","1809","0","PWR(W): 200","TRX:","Ant: Delta Loop","ASL(m):","",
"6H 50 MHz","50 MHz","103","0","DK6OC","JO31KE","23055","26","22207","25","","3,7 %","0","0,0 %","0,0 %","0,0 %","YP8T","1589","0","PWR(W): 80","TRX:","Ant: Moxon 50 70","ASL(m): 40","",
"6H 50 MHz","50 MHz","104","0","G4FKA","IO81SM","22185","19","22185","19","","0,0 %","0","0,0 %","15,8 %","0,0 %","YR5C","1901","0","PWR(W): 400","TRX: IC-7610 and 1K-FA","Ant: Fixed wire dipole","ASL(m): 53","",
"6H 50 MHz","50 MHz","105","0","II4A","JN54OE","22090","43","22090","43","","0,0 %","2","1,1 %","0,0 %","0,0 %","UX3IW","2091","0","PWR(W): 500","TRX:","Ant: 6 el","ASL(m): 700","",
"6H 50 MHz","50 MHz","106","0","EA5FLS","IM99TK","21542","21","21541","20","","0,0 %","1","7,7 %","0,0 %","0,0 %","SN7L","2015","0","PWR(W): 10","TRX:","Ant: Yagui","ASL(m): 650","",
"6H 50 MHz","50 MHz","107","0","DG5BRE","JO62VM","22274","17","21086","16","","5,3 %","0","0,0 %","0,0 %","0,0 %","R6KA","1787","0","PWR(W): 400","TRX:","Ant: 6 ele Yagi","ASL(m):","",
"6H 50 MHz","50 MHz","108","0","IV3VFP","JN66HD","20848","30","20739","29","","0,5 %","1","0,4 %","0,0 %","0,0 %","ED5E","1331","0","PWR(W): 50","TRX:","Ant: 7el","ASL(m): 312","",
"6H 50 MHz","50 MHz","109","0","SQ2EEQ","JO94JC","24970","20","19842","16","","20,5 %","0","0,0 %","56,3 %","0,0 %","F5SDD","1555","0","PWR(W): 100","TRX:","Ant: 4 Y","ASL(m): 10","",
"6H 50 MHz","50 MHz","110","0","IW5EIJ","JN53PS","23480","24","19706","21","","16,1 %","1","5,5 %","14,3 %","0,0 %","MW8R","1464","0","PWR(W): 100","TRX:","Ant: V DIPOLE HOMEMADE","ASL(m): 60","",
"6H 50 MHz","50 MHz","111","0","IT9VDQ","JM68PD","23213","19","18929","16","","18,5 %","1","7,0 %","100,0 %","0,0 %","DL7USW/P","1599","0","PWR(W): 180","TRX:","Ant: 5m. balcony stylus at 11th floor!","ASL(m): 70","",
"6H 50 MHz","50 MHz","112","0","OE5UAL","JN68NE","23564","22","18439","18","","21,7 %","0","0,0 %","0,0 %","0,0 %","ED5R","1471","0","PWR(W): 100","TRX:","Ant: 8 El. LogPer","ASL(m): 450","",
"6H 50 MHz","50 MHz","113","0","M1L","IO81WV","17883","31","17626","30","","1,4 %","1","0,8 %","0,0 %","0,0 %","UX0KR","1965","0","PWR(W): 1000","TRX: IC-7300 + Acom 1000","Ant: 4 Ele LFA","ASL(m): 68","",
"6H 50 MHz","50 MHz","114","0","3Z3Z","JO82LK","21202","15","16991","12","","19,9 %","0","0,0 %","0,0 %","0,0 %","ED5R","1989","0","PWR(W): 10","TRX:","Ant: GP","ASL(m): 80","",
"6H 50 MHz","50 MHz","115","0","UW7CN","KN59OK","16662","11","16662","11","","0,0 %","0","0,0 %","100,0 %","0,0 %","PA5WT","1882","0","PWR(W): 100","TRX:","Ant: 4EL YAGI","ASL(m):","",
"6H 50 MHz","50 MHz","116","0","SQ7X","JO91RT","16882","13","15628","11","","7,4 %","0","0,0 %","100,0 %","0,0 %","EA3D","1747","0","PWR(W): 50","TRX:","Ant: Vertical","ASL(m):","",
"6H 50 MHz","50 MHz","117","0","G7HAH","IO93NN","15493","24","15493","24","","0,0 %","1","0,6 %","8,3 %","0,0 %","UX3IW","2738","0","PWR(W): 100","TRX: IC-7610","Ant: 4el Jaybeam","ASL(m): 2","",
"6H 50 MHz","50 MHz","118","0","IW2ODC","JN45NR","16515","20","15244","19","","7,7 %","0","0,0 %","0,0 %","0,0 %","YO4FZX","1488","0","PWR(W): 100","TRX:","Ant: dipole","ASL(m): 368","",
"6H 50 MHz","50 MHz","119","0","G8ZRE","IO83NE","15026","20","13373","18","","11,0 %","1","0,5 %","0,0 %","0,0 %","Z3A","2299","0","PWR(W): 100","TRX: Yaesu FT897","Ant: 3 Element Yagi","ASL(m): 30","",
"6H 50 MHz","50 MHz","120","0","2E0MDJ","IO81WV","17188","26","13300","24","","22,6 %","1","1,1 %","0,0 %","0,0 %","UX0KR","1965","0","PWR(W): 100","TRX: IC-7600","Ant: 5Ele Tonna","ASL(m): 68","",
"6H 50 MHz","50 MHz","121","0","IK3SSG","JN55XH","12539","18","12539","18","","0,0 %","0","0,0 %","0,0 %","0,0 %","UX0FF","1320","0","PWR(W): 100","TRX:","Ant: 5 elem MomoBeam","ASL(m): 6","",
"6H 50 MHz","50 MHz","122","0","IU1BFI/0","JN61UF","16487","13","12173","10","","26,2 %","1","0,7 %","60,0 %","0,0 %","UW4E","1858","0","PWR(W): 5","TRX:","Ant: Wire 3 2 lambda","ASL(m):","",
"6H 50 MHz","50 MHz","123","0","YO4SI","KN44HE","14131","10","11631","8","","17,7 %","0","0,0 %","75,0 %","0,0 %","OG3B","1887","0","PWR(W): 90","TRX:","Ant: FD4 for HF !","ASL(m): 60","",
"6H 50 MHz","50 MHz","124","0","G0BIX","JO01GI","11885","16","10534","14","","11,4 %","0","0,0 %","0,0 %","0,0 %","SN0R","1408","0","PWR(W): 100","TRX: Icom IC-7300","Ant: 88ft EFLW","ASL(m): 133","",
"6H 50 MHz","50 MHz","125","0","YR0B","KN37VC","10493","8","10493","8","","0,0 %","0","0,0 %","0,0 %","0,0 %","EA3LA","2038","0","PWR(W): 50","TRX:","Ant: Hexbeam","ASL(m): 140","",
"6H 50 MHz","50 MHz","126","0","S570CST","JN65UM","11827","21","9409","19","","20,4 %","0","0,0 %","10,5 %","0,0 %","F5GXX","1147","0","PWR(W): 100","TRX:","Ant: 5 el yagi","ASL(m): 180","",
"6H 50 MHz","50 MHz","127","0","G0WXJ","IO90IS","18739","26","8795","22","","53,1 %","1","3,1 %","0,0 %","0,0 %","IK7LMX","1863","0","PWR(W): 100","TRX: IC9700","Ant: DK7ZB Homenrew","ASL(m): 50","",
"6H 50 MHz","50 MHz","128","0","IS0BRQ","JM49FE","8642","6","8642","6","","0,0 %","0","0,0 %","16,7 %","0,0 %","SN7L","1586","0","PWR(W): 90","TRX:","Ant: Dipole","ASL(m): 76","",
"6H 50 MHz","50 MHz","129","0","G3YJR","IO93FJ","9842","25","7820","23","","20,5 %","1","0,5 %","4,3 %","0,0 %","CT1DIZ","1740","0","PWR(W): 25","TRX: K3","Ant: 3 el yagi","ASL(m): 235","",
"6H 50 MHz","50 MHz","130","0","G3R","IO83SJ","6550","22","6550","22","","0,0 %","0","0,0 %","0,0 %","0,0 %","E73DPR","1945","0","PWR(W): 50","TRX: IC756 PROIII","Ant: 3 ele Vine yagi","ASL(m): 5","",
"6H 50 MHz","50 MHz","131","0","G3TDH","IO83WI","7850","5","6422","4","","18,2 %","0","0,0 %","0,0 %","0,0 %","YU3TA","1791","0","PWR(W): 100","TRX: ic-9700","Ant: Indoor dipole","ASL(m): 75","",
"6H 50 MHz","50 MHz","132","0","G3OVH","IO92JP","6329","16","6329","16","","0,0 %","2","23,9 %","0,0 %","0,0 %","CT1DIZ","1672","0","PWR(W): 100","TRX: IC-7100","Ant: 5 ele Tonna","ASL(m): 100","",
"6H 50 MHz","50 MHz","133","0","YT5SMT","KN04OP","7382","8","6273","7","","15,0 %","0","0,0 %","0,0 %","0,0 %","EA5DF","1877","0","PWR(W): 60","TRX:","Ant: dipole antenna","ASL(m):","",
"6H 50 MHz","50 MHz","134","0","IW2NHE","JN46VA","7783","14","5974","13","","23,2 %","0","0,0 %","0,0 %","0,0 %","SM5EPO","1637","0","PWR(W): 1","TRX:","Ant: moxon","ASL(m): 1950","",
"6H 50 MHz","50 MHz","135","0","SP7VVB","JO91VQ","5525","4","5525","4","","0,0 %","0","0,0 %","0,0 %","0,0 %","IT9RZR","1686","0","PWR(W): 100","TRX:","Ant: 5el","ASL(m): 213","",
"6H 50 MHz","50 MHz","136","0","OM7AZZ","JN98NR","6491","5","5012","4","","22,8 %","0","0,0 %","0,0 %","0,0 %","ED5R","1869","0","PWR(W): 100","TRX:","Ant: HB9CV","ASL(m): 361","",
"6H 50 MHz","50 MHz","137","0","2E0TJX","IO93GK","4187","15","4179","14","","0,2 %","1","1,1 %","0,0 %","0,0 %","UX0KR","1907","0","PWR(W): 100","TRX: FTdx101mp","Ant: G5RV","ASL(m): 131m","",
"6H 50 MHz","50 MHz","138","0","GW4CC","IO71UN","4212","18","4056","17","","3,7 %","0","0,0 %","0,0 %","0,0 %","IZ8CLM","1868","0","PWR(W): 400","TRX: Icom 7700","Ant: 7 Ele","ASL(m): 68","",
"6H 50 MHz","50 MHz","139","0","G4LPD","IO92KW","3466","8","3466","8","","0,0 %","1","1,8 %","0,0 %","0,0 %","ED5R","1575","0","PWR(W): 100","TRX: IC7300","Ant: 3ELE","ASL(m): 10","",
"6H 50 MHz","50 MHz","140","0","I1WKN","JN35WO","2469","13","2469","13","","0,0 %","2","5,1 %","0,0 %","0,0 %","OZ6PI","1277","0","PWR(W): 2","TRX:","Ant: yagi 2 elem HM","ASL(m): 2370","",
"6H 50 MHz","50 MHz","141","0","M5L","IO82NP","1959","8","1871","7","","4,5 %","1","4,4 %","0,0 %","0,0 %","TF/DJ7GS","1540","0","PWR(W): 80","TRX: Flex 6600","Ant: 4 ele yagi","ASL(m): 120","",
"6H 50 MHz","50 MHz","142","0","P35A","KM64HQ","3604","6","1361","4","","62,2 %","0","0,0 %","100,0 %","0,0 %","4Z4KX","363","0","PWR(W): 80","TRX:","Ant: 3 el yagi","ASL(m):","",
"6H 50 MHz","50 MHz","143","0","IU3KUD","JN55SR","762","6","762","6","","0,0 %","0","0,0 %","0,0 %","0,0 %","IK2WQD","197","0","PWR(W): 100","TRX:","Ant: T2LT","ASL(m): 200","",
"6H 50 MHz","50 MHz","144","0","G5CTH","IO91PP","768","12","727","11","","5,3 %","0","0,0 %","0,0 %","0,0 %","G8X","218","0","PWR(W): 100","TRX: IC-7300","Ant: CA-52HB4","ASL(m): 90","",
"6H 50 MHz","50 MHz","145","0","G4GCT","IO81TK","498","5","433","4","","13,1 %","0","0,0 %","0,0 %","0,0 %","M1W","242","0","PWR(W): 50","TRX: ICOM - IC7300","Ant: Simple 1 2 wave dipole","ASL(m): 213","",
"6H 50 MHz","50 MHz","146","0","G7ICV","JO01GI","1896","4","182","2","","90,4 %","0","0,0 %","0,0 %","0,0 %","G4ALE/P","97","0","PWR(W): 50","TRX: Ft847","Ant: Moxon 50 70 by eantenna","ASL(m): 94","",
"6H 50 MHz","50 MHz","147","0","M0RPK","IO93FJ","64","4","64","4","","0,0 %","0","0,0 %","0,0 %","0,0 %","G0EAK/P","45","0","PWR(W): 10","TRX: Icom IC-705","Ant: 1 4 wave vertical","ASL(m): 140","",
