"Section","Band","Rank","Rank for prize","Call","WWL","Claimed score","Claimed QSOs","Cross checked score","Cross checked QSOs","# deleted QSOs","% error score","Unique","% unique score","% CW QSOs","% MGM QSOs","cross checked ODX call","cross checked ODX QRB","Millimeter Group score","PWR(W)","RTX","Ant","ASL(m)",
"SO 1.3 GHz","1.3 GHz","88","0","DL4SBK","JN48PV","3053","19","2819","18","","7,7 %","1","2,2 %","0,0 %","0,0 %","DM5D","373","0","PWR(W): 180","TRX:","Ant: 37 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","89","0","OK1VSJ","JN69IS","3016","17","2794","15","","7,4 %","0","0,0 %","26,7 %","0,0 %","OM6A","446","0","PWR(W): 100","TRX: ICOM 9700 + PA","Ant: 2 x 28el. Loop Yagi","ASL(m): 500","",
"SO 1.3 GHz","1.3 GHz","90","0","DM2EUN","JO60IV","3066","26","2627","24","","14,3 %","0","0,0 %","0,0 %","0,0 %","DF0MU","399","0","PWR(W): 100","TRX:","Ant: 42 ele LY","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","91","0","SP9SOO","JN99OV","2922","11","2624","9","","10,2 %","0","0,0 %","0,0 %","0,0 %","DK0NA","543","0","PWR(W): 50","TRX:","Ant: DISH0,9m","ASL(m): 270","",
"SO 1.3 GHz","1.3 GHz","92","0","DL3ZAE/P","JO40XL","2623","16","2623","16","","0,0 %","0","0,0 %","0,0 %","0,0 %","F6KDL/P","354","0","PWR(W): 12","TRX:","Ant: Ya23","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","93","0","DL1DXA","JN58TI","3048","17","2621","15","","14,0 %","0","0,0 %","33,3 %","0,0 %","OM3KII","451","0","PWR(W): 25","TRX:","Ant: 35 el. Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","94","0","S51BW","JN86BK","2936","16","2455","14","","16,4 %","0","0,0 %","92,9 %","0,0 %","OK2M","392","0","PWR(W): 1","TRX: IC705+Transverter","Ant: Disc yagi 23 e.","ASL(m): 300","",
"SO 1.3 GHz","1.3 GHz","95","0","OK1FEN","JO70NB","2453","16","2453","16","","0,0 %","0","0,0 %","50,0 %","0,0 %","DL4MW","310","0","PWR(W): 10","TRX: TS-2000","Ant: 15 el Yagi","ASL(m): 230","",
"SO 1.3 GHz","1.3 GHz","96","0","DL9MKA","JO51SW","2758","22","2389","20","","13,4 %","0","0,0 %","5,0 %","0,0 %","OL9W","543","0","PWR(W): 10","TRX:","Ant: 10el Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","97","0","DF6WE","JO31GO","2366","23","2366","23","","0,0 %","1","2,5 %","0,0 %","0,0 %","DM5D","467","0","PWR(W): 80","TRX:","Ant: 2m Dish","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","98","0","DK2NI","JO31PW","2323","30","2323","30","","0,0 %","0","0,0 %","0,0 %","0,0 %","DL8LR","265","0","PWR(W): 10","TRX:","Ant: 40 ekle yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","99","0","DF5GO/P","JO62OM","2292","14","2292","14","","0,0 %","0","0,0 %","21,4 %","0,0 %","OL9W","487","0","PWR(W): 20","TRX:","Ant: 12-Element-Scheibenyagi","ASL(m): 103","",
"SO 1.3 GHz","1.3 GHz","100","0","IK0OFF/6","JN62TW","2618","8","2283","7","","12,8 %","0","0,0 %","85,7 %","0,0 %","9A6K","491","0","PWR(W): 10","TRX: ic9700","Ant: 35 ft","ASL(m): 400","",
"SO 1.3 GHz","1.3 GHz","101","0","DL9LBH","JN59ID","2451","13","2275","12","","7,2 %","0","0,0 %","16,7 %","0,0 %","IK3GHY","421","0","PWR(W): 90","TRX:","Ant: 1x48el FlexaYagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","102","0","LZ2QA","KN43EK","2255","10","2255","10","","0,0 %","0","0,0 %","50,0 %","0,0 %","LZ1ZB","424","0","PWR(W): 10","TRX:","Ant: 70 el.  YU1CF","ASL(m): 130","",
"SO 1.3 GHz","1.3 GHz","103","0","HB9AOF","JN36AD","2218","17","2218","17","","0,0 %","12","69,7 %","5,9 %","0,0 %","F1EYB","315","0","PWR(W): 150","TRX:","Ant: 23 elst","ASL(m): 400","",
"SO 1.3 GHz","1.3 GHz","104","0","OK1FQK","JN79PP","2484","21","2180","18","","12,2 %","0","0,0 %","0,0 %","0,0 %","DR5W","301","0","PWR(W): 250","TRX: FT-736R + SSPA","Ant: Wimo 67el.","ASL(m): 710","",
"SO 1.3 GHz","1.3 GHz","105","0","DM3CW/P","JO71DO","2527","18","2103","17","","16,8 %","4","11,4 %","29,4 %","0,0 %","OL9W","364","0","PWR(W): 5","TRX:","Ant: 20 ele Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","106","0","DG6ME","JO51KV","1911","18","1911","18","","0,0 %","0","0,0 %","5,6 %","0,0 %","OL9W","582","0","PWR(W): 10","TRX:","Ant: 23-Element-Yagi","ASL(m):","",
"SO 1.3 GHz","1.3 GHz","107","0","IK3HAR","JN55RK","1886","11","1886","11","","0,0 %","0","0,0 %","0,0 %","0,0 %","IQ1KW","346","0","PWR(W): 25","TRX:","Ant: 2 x 44","ASL(m): 210","",
"SO 1.3 GHz","1.3 GHz","108","0","PA0JCA","JO22JG","2160","8","1878","7","","13,1 %","1","19,2 %","0,0 %","0,0 %","DM5D","595","0","PWR(W): 80","TRX:","Ant: 1,5m dish","ASL(m):","",
